stem;count
year;59375
time;51016
peopl;48526
year;46846
state;38916
percent;34374
new;31958
team;28501
game;28278
home;27636
wai;27193
season;26840
school;25644
citi;24731
dai;24578
us;23793
week;22389
counti;22331
st;21579
compani;21368
part;18787
lot;18339
state;18202
monei;17901
famili;17833
offic;17605
polic;17355
citi;17319
todai;16214
offici;16177
night;16113
work;15850
pm;15516
man;15364
busi;14898
govern;14875
someth;14816
law;14708
game;14596
thing;14546
life;14525
dai;14494
student;14422
coach;14364
program;14222
fridai;14214
group;14156
place;14123
children;14105
ohio;14003
tuesdai;13683
case;13491
job;13341
presid;13141
end;12950
month;12909
mondai;12742
thursdai;12711
obama;12506
member;12416
univers;12407
point;12349
york;12339
saturdai;12273
april;12209
month;12147
san;12110
wednesdai;11965
world;11913
john;11896
center;11857
tax;11847
area;11826
plan;11701
hous;11694
player;11553
cleveland;11495
health;11492
commun;11480
countri;11358
director;11351
jersei;11251
report;11193
board;11149
time;11018
school;10948
washington;10843
sundai;10806
market;10749
hous;10737
thing;10707
inform;10624
court;10526
point;10489
mai;10462
system;10390
number;10321
water;10180
minut;10146
line;10143
loui;10050
room;9977
food;9955
school;9950
park;9936
women;9741
other;9676
oregon;9615
manag;9573
no;9537
district;9516
show;9414
counti;9372
march;9302
campaign;9266
compani;9233
car;9201
depart;8975
bill;8916
care;8858
hour;8844
portland;8726
budget;8665
california;8658
mr;8608
kind;8570
job;8530
seri;8524
street;8434
person;8424
sale;8408
center;8379
kid;8348
side;8292
week;8195
record;8157
head;8136
servic;8130
power;8101
stori;8092
histori;8079
nation;8046
offic;8040
west;8026
brown;8011
field;7918
new;7917
plai;7861
deal;7830
player;7798
music;7788
team;7788
event;7778
men;7766
presid;7759
decis;7707
north;7649
project;7624
career;7564
on;7539
morn;7467
unit;7404
employe;7375
half;7361
name;7307
parent;7297
rate;7296
race;7284
build;7268
anyth;7265
colleg;7256
support;7254
america;7246
issu;7243
process;7229
cours;7208
death;7197
economi;7191
someon;7183
worker;7170
staff;7153
coupl;7149
mother;7101
summer;7099
park;7073
road;7066
everyth;7057
woman;7056
resid;7042
friend;7040
william;6980
david;6974
statement;6950
south;6932
list;6887
wife;6879
romnei;6867
june;6841
run;6803
goal;6757
parti;6740
noth;6728
ball;6712
defens;6697
fan;6687
everyon;6684
report;6669
product;6645
chanc;6639
jame;6602
american;6592
fire;6577
michael;6568
associ;6559
quarter;6501
son;6488
child;6481
senat;6480
problem;6457
am;6426
smith;6399
properti;6351
servic;6346
fact;6310
loss;6309
meet;6305
experi;6270
voter;6267
gui;6254
issu;6223
feet;6215
train;6173
level;6164
chicago;6129
juli;6085
footbal;6064
fund;6063
develop;6061
high;6056
educ;6042
hand;6039
attornei;6038
father;6029
district;6020
industri;6009
bit;5991
idea;5986
lo;5972
investig;5953
lead;5934
east;5929
book;5922
court;5917
film;5908
arizona;5896
member;5881
agenc;5878
price;5859
polic;5842
spokesman;5803
s;5798
cost;5771
spring;5759
cost;5759
gui;5746
nation;5729
problem;5729
angel;5720
state;5707
price;5706
paul;5687
posit;5668
space;5655
restaur;5655
charg;5644
hall;5639
christi;5626
anyon;5625
robert;5583
question;5580
class;5533
ag;5508
oil;5492
town;5486
student;5471
role;5466
white;5464
site;5444
chri;5425
call;5422
interest;5422
mike;5421
leader;5414
vote;5408
safeti;5401
johnson;5392
program;5374
contract;5373
dr;5370
plan;5367
author;5356
la;5344
question;5343
depart;5337
phone;5332
road;5292
reason;5281
avenu;5270
world;5261
wine;5233
governor;5219
growth;5206
confer;5161
rate;5147
custom;5115
record;5097
famili;5096
perform;5089
vallei;5084
lake;5078
us;5069
leagu;5060
republican;5046
effort;5023
administr;5021
energi;5004
bodi;4994
store;4989
francisco;4982
hill;4963
opportun;4963
group;4936
respons;4909
start;4892
front;4889
matter;4878
case;4861
weekend;4854
order;4844
event;4833
chang;4832
mile;4822
ga;4819
missouri;4818
media;4818
heart;4807
tax;4786
florida;4760
organ;4754
period;4745
futur;4732
hospit;4725
nfl;4721
research;4721
daughter;4716
friend;4712
movi;4710
home;4703
chang;4701
owner;4680
credit;4676
detroit;4660
sens;4641
elect;4634
busi;4634
insur;4617
control;4605
rest;4600
gov;4599
bank;4598
shot;4585
right;4576
public;4575
yard;4544
servic;4528
polici;4527
victori;4523
king;4503
trade;4495
action;4480
jone;4476
revenu;4458
exampl;4454
river;4447
council;4442
draft;4438
committe;4433
fall;4425
joe;4405
tv;4403
wai;4402
afternoon;4402
trial;4386
attent;4380
council;4361
test;4354
mark;4340
benefit;4336
top;4331
drug;4330
offic;4329
right;4309
scott;4299
secur;4299
execut;4298
round;4295
husband;4293
practic;4284
cut;4283
data;4280
firm;4280
area;4277
januari;4265
evid;4263
share;4253
light;4248
titl;4248
patient;4244
bill;4244
score;4243
teacher;4212
bai;4212
rule;4194
trip;4191
detail;4190
number;4184
project;4181
ground;4174
prison;4167
in;4161
fun;4155
colleg;4150
sport;4148
thoma;4146
studi;4145
addit;4142
texa;4142
congress;4139
baltimor;4132
debt;4130
tom;4128
construct;4122
georg;4106
downtown;4102
newark;4099
art;4098
game;4085
basketbal;4075
region;4074
plant;4069
judg;4064
success;4062
run;4059
author;4059
inc;4042
result;4029
block;4024
neighborhood;4020
help;4012
novemb;4001
amount;3987
dai;3986
goal;3985
base;3965
increas;3963
effort;3947
china;3932
republican;3928
polic;3925
back;3920
spend;3911
interview;3900
american;3883
agreement;3882
spot;3880
ryan;3879
floor;3847
air;3846
situat;3844
street;3818
michigan;3817
resid;3817
martin;3809
design;3808
bar;3807
crowd;3776
dollar;3774
av;3772
incom;3770
scene;3764
car;3755
video;3736
track;3734
fish;3730
stage;3727
traffic;3723
board;3722
adam;3719
face;3714
colorado;3705
move;3692
stock;3690
club;3689
risk;3687
injuri;3684
letter;3679
offens;3678
cash;3673
moment;3669
door;3664
thousand;3661
product;3655
sen;3649
owner;3645
tabl;3638
a;3634
cancer;3630
basebal;3596
hour;3593
averag;3589
jackson;3586
land;3586
need;3579
word;3577
