stem;count
rt;88234
thank;87480
dai;77166
time;72828
todai;72124
peopl;52063
night;36901
lol;34950
wai;34317
life;32224
love;28535
week;28199
year;27779
work;27544
game;27183
tomorrow;25598
everyon;25259
man;24731
morn;22606
someth;22220
home;21758
thing;21646
weekend;21566
thing;21229
someon;21052
show;20992
gui;20283
fun;19390
new;19380
haha;19373
dai;18269
school;18033
world;17722
friend;17404
music;17221
lol;17214
anyon;16089
tonight;16067
girl;15174
u;15066
fridai;14166
i;13816
on;13769
god;13431
dai;13347
shit;13275
year;13201
noth;13046
lot;12970
twitter;12762
team;12762
happi;12692
person;12610
friend;12610
everyth;12512
job;12266
song;12027
gui;11722
anyth;11470
ass;11259
im;11226
mom;11179
class;11146
phone;11114
name;10927
monei;10850
birthdai;10803
hous;10733
book;10649
parti;10558
food;10489
place;10404
u;10178
season;10111
movi;10032
famili;9988
kid;9869
follow;9865
stuff;9711
congrat;9698
part;9689
right;9597
hour;9427
tweet;9372
video;9340
ok;9074
tweet;9071
summer;9050
wait;8860
head;8859
babi;8788
luck;8724
girl;8663
time;8629
idea;8553
word;8464
car;8370
heart;8361
la;8348
new;8210
fan;8207
twitter;8205
kind;8131
fan;8026
end;8019
yesterdai;7968
busi;7889
saturdai;7847
sundai;7820
hair;7685
ur;7545
love;7501
email;7489
event;7470
bed;7448
mondai;7379
lunch;7361
facebook;7340
mind;7270
hour;7203
hell;7199
face;7127
room;7075
stori;7073
cours;6921
tv;6824
d;6820
minut;6774
word;6697
support;6663
text;6648
moment;6590
problem;6534
dinner;6528
women;6505
bit;6491
im;6449
point;6405
weather;6329
coffe;6279
d;6262
line;6251
talk;6148
chanc;6043
question;6025
mai;6007
need;5988
week;5971
list;5969
month;5961
offic;5939
bitch;5919
me;5915
meet;5902
reason;5896
game;5880
great;5866
other;5821
student;5820
boi;5816
lot;5798
dude;5780
haha;5758
hope;5680
chicago;5674
page;5593
birthdai;5570
nice;5543
beer;5531
citi;5497
media;5456
cant;5455
site;5452
number;5427
break;5421
ticket;5406
us;5393
call;5393
r;5386
my;5384
yea;5247
omg;5244
caus;5204
bro;5107
trip;5075
dog;5068
austin;5053
christma;5019
side;5015
account;4994
plai;4915
woman;4867
sleep;4820
st;4811
market;4787
john;4785
san;4776
kid;4737
blog;4728
rest;4715
boi;4711
coupl;4711
post;4707
info;4686
ey;4682
men;4676
big;4659
train;4637
feel;4637
power;4589
go;4582
nigga;4541
citi;4529
water;4527
servic;4524
so;4522
hope;4520
thursdai;4504
websit;4503
futur;4476
help;4425
experi;4414
god;4402
rain;4390
pm;4386
everybodi;4383
hahaha;4362
pictur;4354
wine;4352
book;4349
omg;4328
dc;4325
wit;4288
on;4285
half;4283
town;4280
voic;4267
month;4262
ha;4256
drink;4252
plan;4240
shop;4203
follow;4197
art;4178
nyc;4169
hand;4169
night;4157
success;4155
april;4133
dream;4128
obama;4124
app;4111
bodi;4100
look;4092
dad;4085
messag;4071
project;4050
fuck;4038
album;4031
time;4018
song;4014
folk;4007
matter;3993
band;3991
mother;3989
store;3989
brother;3983
colleg;3971
all;3964
mother;3957
danc;3946
date;3930
